"fruta","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",33.0370265227256,30.0968265507929,31.6505374534229,30.2908690020658,33.8429278755806,27.1439961373222,31.3940505664979,24.5875053302839,27.2902532324032,29.6732338069166,30.3845359677769,34.8778399369617,29.0474863790638,33.9624301614015,28.9256917675308,29.1752066560443,29.3086882658342,32.0092572168938,31.4038924644912,35.2000396094222,29.9446365961647
"2",33.8526707306124,26.3805507141428,27.4710213434629,29.0127371830036,23.9446141797395,35.511366074382,29.1501920142605,27.2779824443402,25.3438016611979,23.3347097364285,33.3418344416254,31.3853856509818,27.5792249337452,28.9131144741186,24.8204714184524,33.9481899789685,30.4725692902661,22.367213480263,22.3981563754001,25.4162346409601,31.4648054327532
"3",13.4261990840953,12.1348984733655,17.8800319288607,13.6747707026656,16.2439583785765,14.4526985269068,16.0228037364626,14.1929979781022,16.9021717259975,14.8996939323891,16.6451924115017,16.5500502872494,14.5982995834026,14.4293617168865,16.8713079427295,14.7854414632491,14.6674100663272,17.4332394338373,14.4489649816061,15.9062921339434,15.2462966037925
"4",16.7238512160398,14.9746476439361,20.393289197582,16.6490040902223,20.3632065709175,18.518283644144,18.2269313911665,15.3730339632613,16.8411253239064,18.8707822475748,19.0302968614084,17.3565733796114,16.3560640740606,17.3847642429998,17.1369196426957,16.5256396812211,16.1990657962772,21.1979578454642,18.5346920853498,18.6267883178391,17.8079311429998
"5",14.1538946471781,11.8231422030725,14.8060574573485,11.0382522962801,13.5829328641903,12.7662502840946,15.5219642371312,16.6356180983131,13.8739800478412,12.6588949222201,10.930697205761,13.8399942324005,16.2663566426322,16.510073328917,12.1399092975627,17.3786366636064,14.7028334402195,17.0958758383834,16.3275124984865,14.6870898913708,14.2242109877611
"6",21.8486184084689,23.8566930679263,23.2257100016494,20.6367452730044,18.991362286042,22.6853021636664,20.4545911931311,21.6426502566816,21.7257241353528,19.5305883693605,19.1115910643747,21.5767365508255,17.7564442190162,19.420996441804,22.7351479360432,22.0660897235177,22.1958600683142,18.5465414961787,18.3570943054461,21.9536440213708,17.4016676519232
"7",10.4235135317357,9.9118804680781,9.94553243532344,10.7845952263902,9.10471401875239,10.2247168016218,9.14425883974191,10.9678795147205,10.1771486351265,8.4382840702365,8.94648993235943,10.6887747725423,10.7300160326016,9.75823729995256,11.1322991531044,9.96145052608233,8.38662828145952,10.0916460150165,10.3501701425245,8.01816282585464,11.8433211531119
"8",30.2358879063886,31.8694651104155,32.2654138015288,28.9811617901017,34.7182292971276,30.5598767879487,22.7480168583458,32.76784743298,27.3098490959628,30.760558805961,36.4143568127122,31.1588738522602,31.7037294857182,25.8170175555836,26.7769303296176,27.8672066470927,32.2592380619162,30.700473064918,32.1104764859465,36.7126104584378,30.0671952412188
"9",35.7389566681097,33.8664760654942,41.0977945958364,34.7231353393796,43.4079507724462,37.6297417245529,35.0266705287043,39.5313980879267,34.7451881354887,36.3017558843919,30.2994227650721,37.6320154361753,42.5268542079647,34.7735769327995,38.5009653704836,36.1107296194858,34.7576206961347,32.9091942572156,40.9827937845624,45.5770260570535,40.3313442786933
"10",6.28058943813979,6.44372909617913,6.31057172160581,6.5726708884068,6.78376361761809,7.00094879728406,7.04627628621404,7.94420140487257,7.97479533320719,6.74437984147458,5.87732245571276,6.0766620551003,6.45810285790572,6.5339239002813,7.20601147028892,7.79611326782436,7.05592889347937,6.09442066411403,6.23914454326316,5.54762407903419,6.79839171488664
"11",8.23659097659013,7.71602876692361,7.71988043350702,7.40882000086058,7.40164632453834,6.87496969289422,6.14605360938366,8.29269045171223,7.52439179968991,7.45264889252056,6.79959914078624,7.43256805068677,6.91983907408175,8.09465778743498,7.34032158074691,8.30859820492427,7.04466994713023,7.74243591351265,6.37493126707862,6.6320896165127,6.71831814071233
"12",15.6059345009994,14.2199135622632,16.3951156433326,13.0428434817036,14.8162866569074,17.2445901419829,17.7297833532599,14.2106521125093,15.709179796125,15.300154804482,17.3540668395739,17.2419699354762,15.007027990529,15.1289320851187,12.7486769748258,15.5119062244646,17.2790720367313,17.3776923738606,16.3441047200415,14.4472263297546,19.6400145367136
